function,iter,pi,error,time,hostname
2, 720000,  3.1415926542, 5.6382765123e-10, 0.00733,  wn23 
1, 730000,  3.1415926536, 1.9628743075e-13, 0.00647,  wn23 
2, 730000,  3.1415926541, 5.5214011141e-10, 0.00733,  wn23 
1, 740000,  3.1415926536, 2.6645352591e-15, 0.00655,  wn23 
2, 740000,  3.1415926541, 5.4118531878e-10, 0.00739,  wn23 
1, 750000,  3.1415926536, 1.6164847239e-13, 0.00664,  wn23 
2, 750000,  3.1415926541, 5.3026072422e-10, 0.00748,  wn23 
1, 760000,  3.1415926536, 2.5623947408e-13, 0.00672,  wn23 
2, 760000,  3.1415926541, 5.1981663418e-10, 0.00758,  wn23 
1, 770000,  3.1415926536, 1.9095836024e-14, 0.00682,  wn23 
2, 770000,  3.1415926541, 5.0979709343e-10, 0.00768,  wn23 
1, 780000,  3.1415926536, 1.5543122345e-13, 0.00690,  wn23 
2, 780000,  3.1415926541, 5.0000004137e-10, 0.00778,  wn23 
1, 790000,  3.1415926536, 1.5365486661e-13, 0.00699,  wn23 
2, 790000,  3.1415926541, 4.9048676232e-10, 0.00821,  wn23 
1, 800000,  3.1415926536, 1.0658141036e-13, 0.00708,  wn23 
2, 800000,  3.1415926541, 4.8143311560e-10, 0.00798,  wn23 
1, 810000,  3.1415926536, 1.1457501614e-13, 0.00717,  wn23 
2, 810000,  3.1415926541, 4.7243320367e-10, 0.00808,  wn23 
1, 820000,  3.1415926536, 6.0840221749e-14, 0.00726,  wn23 
2, 820000,  3.1415926541, 4.6386761099e-10, 0.00818,  wn23 
1, 830000,  3.1415926536, 1.2656542481e-13, 0.00735,  wn23 
2, 830000,  3.1415926540, 4.5548986805e-10, 0.00828,  wn23 
1, 840000,  3.1415926536, 1.0746958878e-13, 0.00744,  wn23 
2, 840000,  3.1415926540, 4.4743764249e-10, 0.00839,  wn23 
1, 850000,  3.1415926536, 1.8696155735e-13, 0.00780,  wn23 
2, 850000,  3.1415926540, 4.3946535300e-10, 0.00951,  wn23 
1, 860000,  3.1415926536, 1.9095836024e-14, 0.00761,  wn23 
2, 860000,  3.1415926540, 4.3182923903e-10, 0.00858,  wn23 
1, 870000,  3.1415926536, 2.0872192863e-14, 0.00773,  wn23 
2, 870000,  3.1415926540, 4.2447290127e-10, 0.00868,  wn23 
1, 880000,  3.1415926536, 2.0561330416e-13, 0.00779,  wn23 
2, 880000,  3.1415926540, 4.1728842604e-10, 0.00879,  wn23 
1, 890000,  3.1415926536, 1.0969003483e-13, 0.00788,  wn23 
2, 890000,  3.1415926540, 4.1035219667e-10, 0.00888,  wn23 
1, 900000,  3.1415926536, 2.0872192863e-13, 0.00796,  wn23 
2, 900000,  3.1415926540, 4.0338399288e-10, 0.00899,  wn23 
